,newly_cove,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area,priority,geometry
0,80299.8125,157,MWI,Malawi,1962,Lilongwe,22804,Lilongwe City,,,,,City,City,Unknown,Unknown,,1.19060146529,0.036144239563,1,POINT (33.83624986828053 -13.98791639586372)
1,60041.73828125,157,MWI,Malawi,1954,Blantyre,22733,TA Machinjili,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.685427242832,0.0059991656575,2,POINT (35.10291652988053 -15.87124972166372)
2,47078.53515625,157,MWI,Malawi,1962,Lilongwe,22810,TA Chimutu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.0606688489,0.033652409646,3,POINT (33.86124986818053 -13.91291639616372)
3,37342.703125,157,MWI,Malawi,1962,Lilongwe,22806,SC Mtema,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.70801846839,0.0141933077565,4,POINT (33.63624986908053 -13.70458306366372)
4,35143.63671875,157,MWI,Malawi,1962,Lilongwe,22815,TA Kalumba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.301819829271,0.004009067417,5,POINT (33.78624986848053 -14.09624972876372)
5,35083.62890625,157,MWI,Malawi,1962,Lilongwe,22818,TA Malili,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.04525606891,0.0261294698595,6,POINT (33.65291653568053 -14.08791639546372)
6,34936.2890625,157,MWI,Malawi,1965,Mchinji,22853,TA Zulu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.27061965304,0.0391664655745,7,POINT (33.07791653798053 -13.82124972986372)
7,34055.50390625,157,MWI,Malawi,1962,Lilongwe,22804,Lilongwe City,,,,,City,City,Unknown,Unknown,,1.19060146529,0.036144239563,8,POINT (33.73624986868053 -13.96291639596372)
8,33300.47265625,157,MWI,Malawi,1954,Blantyre,22727,Blantyre City,,,,,City,City,Unknown,Unknown,,0.882019276165,0.0200730590145,9,POINT (35.00291653028053 -15.71291638896372)
9,32934.80859375,157,MWI,Malawi,1962,Lilongwe,22819,TA Mazengera,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.970241000617,0.0289047830875,10,POINT (34.03624986748053 -14.02124972906372)
10,32154.486328125,157,MWI,Malawi,1977,Thyolo,22961,TA Changata,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.592565583731,0.0102293977595,11,POINT (35.19458319618053 -16.17124972046372)
11,31364.587890625,157,MWI,Malawi,1958,Dedza,22767,TA Kaphuka,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.08674396761,0.051173809676,12,POINT (34.12791653378053 -14.27124972806372)
