Name,UID,Code,Parent UID,Short name,Description,Opening date,Closed date,Comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
Malawi,5DK6EIO5Z2K,,,Malawi,,,,,,,,,,,
Central Region,D5UIJQK70V8,,5DK6EIO5Z2K,Central Region,,,,,,,,,Malawi,,
Northern Region,476EW908B28,,5DK6EIO5Z2K,Northern Region,,,,,,,,,Malawi,,
Southern Region,TH382386J4P,,5DK6EIO5Z2K,Southern Region,,,,,,,,,Malawi,,
Dedza,MCI03GN2X82,,D5UIJQK70V8,Dedza,,,,,,,,,Central Region,,
Dowa,5MMUU44H87N,,D5UIJQK70V8,Dowa,,,,,,,,,Central Region,,
Kasungu,NC43ZHVI990,,D5UIJQK70V8,Kasungu,,,,,,,,,Central Region,,
Lilongwe,YUZGVN27VV7,,D5UIJQK70V8,Lilongwe,,,,,,,,,Central Region,,
Mchinji,P9Z9B7I5Z49,,D5UIJQK70V8,Mchinji,,,,,,,,,Central Region,,
Nkhotakota,83R42PJ617D,,D5UIJQK70V8,Nkhotakota,,,,,,,,,Central Region,,
Ntcheu,0CP1CKU2WT5,,D5UIJQK70V8,Ntcheu,,,,,,,,,Central Region,,
Ntchisi,EKM7K3C099P,,D5UIJQK70V8,Ntchisi,,,,,,,,,Central Region,,
Salima,89O2R8M1H8R,,D5UIJQK70V8,Salima,,,,,,,,,Central Region,,
Chitipa ,4O17B47YQ93,,476EW908B28,Chitipa,,,,,,,,,Northern Region,,
Karonga,A4HW509I02S,,476EW908B28,Karonga,,,,,,,,,Northern Region,,
Likoma,JRW72OR4IB1,,476EW908B28,Likoma,,,,,,,,,Northern Region,,
Mzimba,96XVM25Q836,,476EW908B28,Mzimba,,,,,,,,,Northern Region,,
Nkhatabay,4T029936L6Y,,476EW908B28,Nkhatabay,,,,,,,,,Northern Region,,
Rumphi,ID12CT8H1C6,,476EW908B28,Rumphi,,,,,,,,,Northern Region,,
Balaka,PBSD2ZN14KQ,,TH382386J4P,Balaka,,,,,,,,,Southern Region,,
Blantyre,M88BRZF0433,,TH382386J4P,Blantyre,,,,,,,,,Southern Region,,
Chikwakwa,NP1724994XS,,TH382386J4P,Chikwakwa,,,,,,,,,Southern Region,,
Chiradzulu,4MO3041BF94,,TH382386J4P,Chiradzulu,,,,,,,,,Southern Region,,
Machinga,Y12N1916064,,TH382386J4P,Machinga,,,,,,,,,Southern Region,,
Mangochi,3D33MR4I446,,TH382386J4P,Mangochi,,,,,,,,,Southern Region,,
Mulanje,23X9ID7085J,,TH382386J4P,Mulanje,,,,,,,,,Southern Region,,
Mwanza,I28JL6Z37LK,,TH382386J4P,Mwanza,,,,,,,,,Southern Region,,
Neno,NY4EK0ONL46,,TH382386J4P,Neno,,,,,,,,,Southern Region,,
Nsanje,T17D43A575W,,TH382386J4P,Nsanje,,,,,,,,,Southern Region,,
Phalombe,63SE8971XMH,,TH382386J4P,Phalombe,,,,,,,,,Southern Region,,
Thyolo,6394C65X5QD,,TH382386J4P,Thyolo,,,,,,,,,Southern Region,,
Zomba,99E3D38Q60Z,,TH382386J4P,Zomba,,,,,,,,,Southern Region,,
STA Kachenga,8XGS755Z896,,PBSD2ZN14KQ,Kachenga,,,,,,,,,Balaka,,
STA Matola,0M4669H4HGV,,PBSD2ZN14KQ,Matola,,,,,,,,,Balaka,,
STA Phalula,ZW9N60ZD2LV,,PBSD2ZN14KQ,Phalula,,,,,,,,,Balaka,,
STA Toleza,2G6V1Q6VODB,,PBSD2ZN14KQ,Toleza,,,,,,,,,Balaka,,
TA Amidu,V33E79I4PWI,,PBSD2ZN14KQ,Amidu,,,,,,,,,Balaka,,
TA Chanthunya,3V04J8FH956,,PBSD2ZN14KQ,Chanthunya,,,,,,,,,Balaka,,
TA Kalembo,LJO359U35WF,,PBSD2ZN14KQ,Kalembo,,,,,,,,,Balaka,,
TA Msamala,ZLT4525EM4Z,,PBSD2ZN14KQ,Msamala,,,,,,,,,Balaka,,
TA Nkaya,PZ5Z373376O,,PBSD2ZN14KQ,Nkaya,,,,,,,,,Balaka,,
TA Sawali,0VM2U92Z6R3,,PBSD2ZN14KQ,Sawali,,,,,,,,,Balaka,,
TA Chigaru,H3JXZVC1E7O,,M88BRZF0433,Chigaru,,,,,,,,,Blantyre,,
TA Kapeni,10S9F354W40,,M88BRZF0433,Kapeni,,,,,,,,,Blantyre,,
TA Kuntaja,21S3H23UQB3,,M88BRZF0433,Kuntaja,,,,,,,,,Blantyre,,
TA Kunthembwe,5203ES5WP7V,,M88BRZF0433,Kunthembwe,,,,,,,,,Blantyre,,
TA Machinjiri,7LMTYE0W57L,,M88BRZF0433,Machinjiri,,,,,,,,,Blantyre,,
TA Makata,EM6V5Z2EB8C,,M88BRZF0433,Makata,,,,,,,,,Blantyre,,
TA Somba,V28B0U168S6,,M88BRZF0433,Somba,,,,,,,,,Blantyre,,
TA Lundu,X69CJ4MCIAL,,M88BRZF0433,Lundu,,,,,,,,,,,
TA Kameme,073Q6GI82E1,,4O17B47YQ93,Kameme,,,,,,,,,Chitipa ,,
TA Mwabulambya,P2246S0CD4H,,4O17B47YQ93,Mwabulambya,,,,,,,,,Chitipa ,,
TA Mwenemisuku,H39I7C0B456,,4O17B47YQ93,Mwenemisuku,,,,,,,,,Chitipa ,,
